elasticity,seed,policy,reward,revenue,peak_load,load_variance,service_ratio,final_backlog,action,selected_price
1.0,4,TOU rule,1.3952289023354554,2.8576162633908684,0.85,0.1189266993689061,0.9999999998771657,0.0,,
1.0,4,Best constant,1.782983713119935,2.4407539444731126,0.85,0.11321146930997307,0.9993609747499096,0.005202334756494224,2.0,0.3
1.0,4,Tabular Q-learning,1.797719981311143,2.7383265898321976,0.85,0.11308986021702461,0.9995912554884722,0.003343369527338236,,
1.0,5,Flat 0.30,1.6546467128133346,2.39239103047018,0.85,0.10669263325836642,0.9996692297080781,0.002638644717412526,,
1.0,5,TOU rule,1.2999155250563261,2.7990663946021144,0.85,0.11269668123860917,0.9999999998746438,0.0,,
1.0,5,Best constant,1.6546467128133346,2.39239103047018,0.85,0.10669263325836642,0.9996692297080781,0.002638644717412526,2.0,0.3
1.0,5,Tabular Q-learning,1.8412711716353138,2.744254986876394,0.85,0.10507262283550639,0.9989860155300818,0.008408093862273494,,
1.0,6,Flat 0.30,1.8676300238688688,2.544552420811064,0.85,0.10860787181550206,0.9991876670473753,0.006895679859146624,,
1.0,6,TOU rule,1.3467439343710235,2.9323225169819014,0.85,0.11554121537830038,0.9999999998821968,0.0,,
1.0,6,Best constant,1.8676300238688688,2.544552420811064,0.85,0.10860787181550206,0.9991876670473753,0.006895679859146624,2.0,0.3
1.0,6,Tabular Q-learning,1.7798049724377467,2.8193264167137064,0.85,0.10765556481426357,0.9982247149967782,0.014855334775540685,,
1.0,7,Flat 0.30,1.7576837714773705,2.329350468736016,0.85,0.10856052809100608,0.9992722461053717,0.0056547605266454234,,
1.0,7,TOU rule,1.3970715803157818,2.740275086428929,0.85,0.11277145138800031,0.9999999998713026,0.0,,
1.0,7,Best constant,1.7576837714773705,2.329350468736016,0.85,0.10856052809100608,0.9992722461053717,0.0056547605266454234,2.0,0.3
1.0,7,Tabular Q-learning,1.7650828691775124,2.6006371753077704,0.85,0.10484261312032256,0.9999999998757216,0.0,,
1.0,8,Flat 0.30,1.7112164519063808,2.4704177401036835,0.85,0.11664272102045892,0.9992484184944921,0.006193721701902154,,
