hour,min_voltage_pu,voltage_violations,max_line_loading_pct,line_overloads,losses_mw,pcc_mva,transformer_overload,policy,scenario
6,0.9532420988214761,0,28.280535827216706,0,0.05800817867627208,2.4805155744532668,0,Tabular Q-learning,0
7,0.9537241412149265,0,28.21120059643068,0,0.05753830367283057,2.474434108341145,0,Tabular Q-learning,0
8,0.9533738122368391,0,28.261584403103335,0,0.05787913654510776,2.4788533250847506,0,Tabular Q-learning,0
9,0.9486434835008131,2,28.945033953205,0,0.0628204623507072,2.538799404938526,0,Tabular Q-learning,0
10,0.9385572465209128,6,30.419719902057224,0,0.07544432960118047,2.668145663154754,0,Tabular Q-learning,0
11,0.9249770581107031,10,32.43523355962944,0,0.09684617137934695,2.8449284925283767,0,Tabular Q-learning,0
12,0.9245758414909023,11,32.49520845274503,0,0.09755412957383039,2.8501889537885496,0,Tabular Q-learning,0
13,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Tabular Q-learning,0
14,0.920604485947834,12,33.08999056635363,0,0.10479313335987184,2.902357922133654,0,Tabular Q-learning,0
15,0.9149071316761547,12,33.94656515571913,0,0.1159076205381669,2.977488987872213,0,Tabular Q-learning,0
16,0.9137419901508105,12,34.12217267789968,0,0.11828571012718833,2.992891710370818,0,Tabular Q-learning,0
17,0.9222410173878232,12,32.844646934686956,0,0.10175922382836619,2.8808385725424683,0,Tabular Q-learning,0
18,0.9168318578403317,12,33.6567856945645,0,0.11205718455862185,2.952072123593002,0,Tabular Q-learning,0
19,0.9199531043648563,12,33.18773481825505,0,0.10602047351450386,2.91093117397482,0,Tabular Q-learning,0
20,0.9299845725775376,7,31.688614935591502,0,0.0883734780038643,2.7794417846030535,0,Tabular Q-learning,0
21,0.9434000768188032,5,29.708929349539236,0,0.06903072756140649,2.60580147483061,0,Tabular Q-learning,0
22,0.948457668762171,2,28.97199555512657,0,0.06302741272265423,2.5411642354407493,0,Tabular Q-learning,0
23,0.9525248069367451,0,28.38382414825557,0,0.058719538659461654,2.4895751018708414,0,Tabular Q-learning,0
